Product URL,Descriptions
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/8804583/2019/4/12/ee8bf03d-6cb8-4aaa-92c6-b228435356e31555063484942-DressBerry-Women-Mustard-Yellow-Printed-Round-Neck-T-shirt-9-1.jpg",DressBerry Women Mustard Yellow Printed Round Neck T-shirt
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11893866/2020/9/9/ee87f426-4778-4d1d-98e5-3e68e041fbc61599651067404-Roadster-Women-Tshirts-901599651065328-1.jpg",Roadster Women White Solid Round Neck T-shirt with Curved Hem
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10144435/2019/9/4/7129e951-e94a-4c3b-a14b-c885694fad991567588194581-Roadster-Women-Tops-6561567588193271-1.jpg",Roadster Women Navy Blue & Yellow Striped High Neck T-shirt
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11271958/2020/2/15/af81aa05-75e4-4027-bda2-ad886409cd161581740581653-DressBerry-Women-Tshirts-4231581740580263-1.jpg",DressBerry Women Blue Printed Round Neck T-shirt
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11067184/2019/12/10/0f5a1074-33cd-4db7-8976-b6f5cc3d21031575980591549-DILLINGER-Women-Tshirts-8611575980589111-1.jpg",DILLINGER Women Black Solid Round Neck T-shirt
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2214866/2018/10/11/2be7ebe8-0465-490d-b811-7c3f3d70588b1539246954719-Vero-Moda-Women-Cream-Coloured-Standard-Regular-Fit-Solid-Casual-Shirt-1791539246954517-1.jpg",Vero Moda Women Cream-Coloured Standard Regular Fit Solid Casual Shirt
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/1366640/2019/8/27/6fa59b70-2c6a-406d-b3b7-36717911501b1566892267568-Roadster-Women-Black--Red-Regular-Fit-Checked-Casual-Shirt-8-1.jpg",Roadster Women Black & Red Regular Fit Checked Casual Shirt
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11987146/2020/7/8/be4a1e3e-ca5f-419e-b24c-55f88c7601e31594193279079-Roadster-Women-Navy-Blue--Coral-Regular-Fit-Checked-Casual-S-1.jpg",Roadster Women Navy Blue & Red Reversible Regular Fit Checked Casual Shirt
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11987158/2020/8/4/738243f1-8c0d-4979-b34a-62126f0cb9701596532475027-Roadster-Women-Shirts-9761596532473465-1.jpg",Roadster Women Black & Olive Green Reversible Regular Fit Solid Casual Shirt
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11711804/2020/10/13/59080d99-48fd-48af-a0a6-8b9521df368b1602591631495MastHarbourWomenSeaGreenYellowRegularFitFloralPrintedCasualS1.jpg",Mast & Harbour Women Sea Green & Yellow Regular Fit Floral Printed Casual Shirt
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11679752/2020/3/11/0f222aef-db2e-4d7e-8857-5f40cd80b1d81583928440397HMWomenWhiteSolidCottonShirt1.jpg",H&M Women White Solid Cotton Shirt
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/7207502/2020/1/22/6f2663c5-a0e1-4f39-b0f7-c03d842d25921579687410977-Roadster-Women-Blue-Regular-Fit-Printed-Casual-Shirt-2901579-1.jpg",Roadster Women Blue Regular Fit Printed Casual Shirt
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10936918/2019/11/26/2ba4ca61-9623-4f24-82bd-a99bb272608c1574750628732-VMHAPPY-LS-OVERSIZE-SHIRT-6-P-Black-XS-2781574750626916-1.jpg",Vero Moda Women Black Regular Fit Solid Casual Shirt
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11843934/2020/10/10/8184929a-3838-4631-a77a-d0cbf4ebdc221602271484803MANGOWomenBlackRedRegularFitPrintedCasualSustainableShirt1.jpg",MANGO Women Black & Red Regular Fit Printed Casual Sustainable Shirt
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/7331508/2018/9/25/04339355-2d8a-4240-b89a-2b2636502f581537867364168-ONLY-Women-Green--White-Regular-Fit-Striped-Casual-Shirt-142-1.jpg",ONLY Women Green & White Regular Fit Striped Casual Shirt
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/7208127/2018/8/23/5dbc44c4-d171-4559-9944-37ce3dd1437f1535005234548-na-6341535005234394-1.jpg",Mayra Women Black Regular Fit Solid Casual Shirt
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10723252/2019/11/1/961e2be2-f926-498b-b95a-f2027720b7d21572608871585-Levis-thermal-tops-8891572608870066-1.jpg",Levis Men Black Solid Thermal Top
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2318900/2017/12/8/11512719880509-Dollar-Ultra-Mens-full-Sleeve-V-Neck-Black-Thermal-Vest-9931512719880356-1.jpg",Dollar Ultra Charcoal Grey Thermal T-Shirt
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/12459336/2020/9/17/f11d94da-d9c9-41fe-8731-b08b8bca50c21600313051874-ARMISTO-Men-Pack-Of-2-Grey-Striped-Thermal-Tops-998160031305-1.jpg",ARMISTO Men Pack Of 2 Grey Striped Thermal Tops
